Customer_ID,gender,Age,demographics,profession,Income,Loan_Amount,Loan_Term_Months,Rent_Payments,Utility_Payments_On_Time,Mobile_Phone_Payment_On_Time,social mediaplatform,Social_Media_Activity_Score,Transaction_Behavior_Score,Credit_Score
1,male,60,Urban,Software Engineer,126296,15357,36,964,TRUE,TRUE,Instagram,50,77,402
2,female,27,Urban,Student,101182,47136,60,2274,TRUE,TRUE,Facebook,84,24,735
3,male,47,Sub_Urban,Marketer Manager,102565,4137,48,1746,TRUE,FALSE,Instagram,16,54,570
4,non-binary,67,Urban,Student,49402,1097,60,1130,TRUE,TRUE,Instagram,76,26,406
5,male,35,Urban,Software Engineer,24263,12407,48,1324,TRUE,TRUE,Instagram,77,66,371
6,male,34,Urban,Marketer Manager,143489,31575,36,1787,TRUE,FALSE,Facebook,39,80,320
7,male,43,Urban,Student,116523,13722,12,1730,TRUE,TRUE,YouTube,89,38,421
8,male,25,Urban,Marketer Manager,66828,13924,36,1106,TRUE,FALSE,Instagram,46,65,766
9,non-binary,64,Sub_Urban,Marketer Manager,140824,4750,12,1384,TRUE,TRUE,YouTube,96,75,514
10,non-binary,57,Sub_Urban,Marketer Manager,67924,28733,12,2257,TRUE,TRUE,Instagram,88,51,630
11,female,66,Urban,Student,94182,9535,60,865,TRUE,TRUE,YouTube,47,35,758
12,non-binary,29,Sub_Urban,Marketer Manager,113065,25487,36,775,TRUE,TRUE,Facebook,44,43,387
13,non-binary,44,Rural,Student,79052,31651,48,879,TRUE,TRUE,Facebook,9,29,672
14,female,25,Urban,Software Engineer,31664,5666,36,2266,TRUE,TRUE,Instagram,87,37,399
15,non-binary,42,Rural,Student,55737,49777,60,1832,TRUE,TRUE,YouTube,50,81,430
16,male,63,Sub_Urban,Software Engineer,121332,17994,12,2154,TRUE,TRUE,Facebook,77,58,608
17,male,21,Sub_Urban,Student,109563,2727,60,1791,FALSE,TRUE,Instagram,60,54,643
18,female,50,Rural,Marketer Manager,49373,35622,24,1444,TRUE,TRUE,Instagram,96,39,791
19,female,18,Sub_Urban,Student,137369,11800,24,2308,FALSE,TRUE,Facebook,15,42,713
20,female,36,Urban,Marketer Manager,56397,38823,48,1587,FALSE,TRUE,Facebook,36,28,685
21,male,48,Rural,Software Engineer,148575,44039,60,1309,TRUE,FALSE,Instagram,63,29,491
22,non-binary,33,Urban,Student,106145,19708,48,1873,TRUE,TRUE,YouTube,69,43,576
23,male,31,Rural,Marketer Manager,121371,13819,48,1424,TRUE,FALSE,YouTube,86,3,460
24,female,65,Sub_Urban,Software Engineer,58709,10369,24,2438,TRUE,TRUE,YouTube,80,10,759
25,non-binary,22,Rural,Software Engineer,136074,10283,48,993,TRUE,TRUE,Instagram,41,59,613
26,non-binary,58,Rural,Student,81120,31573,24,2046,TRUE,TRUE,Facebook,74,14,321
27,male,43,Urban,Software Engineer,39250,14171,12,1621,TRUE,TRUE,Instagram,24,76,552
28,female,45,Sub_Urban,Marketer Manager,41172,31933,60,2469,TRUE,TRUE,Facebook,82,47,774
29,male,19,Urban,Software Engineer,31555,6774,48,1594,TRUE,TRUE,YouTube,49,42,358
30,non-binary,67,Sub_Urban,Software Engineer,107410,7519,24,863,TRUE,TRUE,YouTube,18,94,810
31,male,23,Urban,Marketer Manager,98617,11983,36,1069,TRUE,TRUE,Facebook,7,32,775
32,male,26,Rural,Software Engineer,73276,31932,48,2325,TRUE,TRUE,Facebook,4,32,489
33,female,50,Urban,Software Engineer,77492,31798,12,1262,TRUE,TRUE,Instagram,90,42,543
34,female,58,Sub_Urban,Software Engineer,73002,19133,12,775,FALSE,TRUE,YouTube,69,32,804
35,non-binary,42,Sub_Urban,Software Engineer,140103,15939,36,549,TRUE,TRUE,Instagram,60,26,430
36,male,65,Rural,Marketer Manager,144938,1781,24,1881,TRUE,TRUE,Instagram,55,1,784
37,male,30,Sub_Urban,Software Engineer,109599,28624,48,1227,TRUE,TRUE,Instagram,16,56,320
38,male,26,Urban,Marketer Manager,92355,7823,24,1405,TRUE,TRUE,YouTube,99,2,466
39,non-binary,30,Rural,Software Engineer,111248,19489,12,1427,TRUE,TRUE,Instagram,90,81,573
40,non-binary,48,Sub_Urban,Software Engineer,44762,40961,24,1063,TRUE,TRUE,Instagram,82,30,687
41,female,58,Sub_Urban,Software Engineer,31046,30118,12,1282,TRUE,TRUE,Instagram,29,71,615
42,female,28,Urban,Software Engineer,116999,35881,24,984,TRUE,TRUE,Instagram,23,52,313
43,female,21,Urban,Marketer Manager,144130,17280,36,1607,FALSE,TRUE,Instagram,14,91,541
44,male,51,Rural,Marketer Manager,136021,23263,60,2422,TRUE,FALSE,Instagram,79,9,645
45,male,55,Sub_Urban,Marketer Manager,48769,14565,36,2328,TRUE,FALSE,YouTube,49,22,639
46,female,63,Urban,Student,73302,21354,36,2161,TRUE,TRUE,Instagram,33,34,391
47,male,21,Rural,Software Engineer,43150,43951,60,2331,TRUE,TRUE,Facebook,25,49,666
48,female,55,Sub_Urban,Software Engineer,88247,26643,60,1083,TRUE,TRUE,Instagram,21,1,754
49,non-binary,36,Sub_Urban,Marketer Manager,24853,24648,48,1819,TRUE,TRUE,Instagram,17,73,727
50,female,23,Rural,Student,114613,42971,48,735,TRUE,TRUE,YouTube,23,84,808
51,non-binary,51,Rural,Software Engineer,140900,19658,36,555,FALSE,TRUE,YouTube,57,53,334
52,male,35,Urban,Marketer Manager,109399,22253,36,2442,TRUE,FALSE,Facebook,81,83,505
53,female,30,Sub_Urban,Software Engineer,41792,49563,12,859,TRUE,TRUE,Facebook,58,40,380
54,male,58,Sub_Urban,Software Engineer,79129,27390,12,2430,TRUE,TRUE,YouTube,14,45,687
55,non-binary,40,Sub_Urban,Marketer Manager,126019,24128,48,609,TRUE,TRUE,YouTube,93,68,301
56,non-binary,36,Rural,Marketer Manager,94478,14489,48,691,TRUE,TRUE,Instagram,20,9,689
57,non-binary,62,Urban,Software Engineer,133811,39314,12,1403,TRUE,TRUE,YouTube,30,22,405
58,male,28,Sub_Urban,Software Engineer,134130,33658,12,1616,TRUE,FALSE,Facebook,19,18,776
59,male,18,Rural,Marketer Manager,87298,7852,24,1361,TRUE,TRUE,Instagram,53,76,701
60,male,41,Sub_Urban,Software Engineer,51987,30450,24,1067,TRUE,TRUE,Facebook,56,43,461
61,male,24,Urban,Software Engineer,35850,3551,12,1583,TRUE,TRUE,Instagram,77,39,501
62,non-binary,42,Sub_Urban,Marketer Manager,32112,7411,24,1149,TRUE,TRUE,YouTube,82,73,569
63,non-binary,38,Urban,Software Engineer,141789,34243,60,538,TRUE,TRUE,Facebook,23,6,570
64,female,32,Urban,Software Engineer,44058,22800,48,2063,TRUE,TRUE,Instagram,62,83,755
65,female,18,Sub_Urban,Student,65420,11403,48,1572,TRUE,TRUE,Instagram,33,48,761
66,male,29,Sub_Urban,Marketer Manager,58890,8239,12,1943,TRUE,TRUE,YouTube,18,7,551
67,non-binary,24,Urban,Student,86017,7710,36,1136,TRUE,TRUE,YouTube,73,80,595
68,non-binary,32,Rural,Student,67304,22384,12,1536,TRUE,TRUE,YouTube,33,69,637
69,non-binary,38,Urban,Student,52921,22038,24,535,TRUE,TRUE,Facebook,32,16,352
70,female,36,Sub_Urban,Software Engineer,125921,41846,36,600,TRUE,TRUE,Instagram,61,1,516
71,female,46,Sub_Urban,Software Engineer,21524,23447,24,2317,TRUE,TRUE,YouTube,54,37,487
72,non-binary,42,Rural,Student,120424,3285,60,1609,TRUE,TRUE,Facebook,17,83,679
73,non-binary,50,Urban,Student,35048,38991,24,2039,TRUE,TRUE,Facebook,19,37,792
74,non-binary,66,Urban,Student,55111,14521,60,1746,TRUE,TRUE,Facebook,91,81,340
75,female,49,Urban,Software Engineer,57904,48657,60,1861,TRUE,TRUE,YouTube,70,64,456
76,non-binary,66,Sub_Urban,Student,74912,7971,24,2483,TRUE,TRUE,YouTube,99,90,314
77,non-binary,52,Urban,Student,54008,30139,24,665,FALSE,TRUE,Instagram,34,86,364
78,male,61,Rural,Marketer Manager,20060,20909,60,882,TRUE,TRUE,Instagram,84,62,820
79,male,55,Sub_Urban,Marketer Manager,94666,12531,36,2379,TRUE,TRUE,YouTube,25,72,643
80,female,43,Sub_Urban,Software Engineer,103559,15721,60,2418,TRUE,TRUE,Facebook,68,61,428
81,non-binary,28,Urban,Marketer Manager,75337,20206,48,1899,TRUE,TRUE,Facebook,74,33,771
82,non-binary,52,Rural,Marketer Manager,130616,38711,60,1994,TRUE,TRUE,Facebook,74,66,362
83,male,25,Sub_Urban,Marketer Manager,33350,7530,36,1289,TRUE,TRUE,Instagram,88,30,438
84,female,63,Sub_Urban,Software Engineer,44354,12116,48,2165,TRUE,TRUE,Facebook,85,20,798
85,male,31,Urban,Marketer Manager,65186,1258,12,530,TRUE,TRUE,Instagram,11,60,691
86,male,27,Urban,Software Engineer,48145,1282,12,1898,TRUE,TRUE,Instagram,91,82,718
87,male,19,Rural,Student,54020,14937,36,510,TRUE,TRUE,Facebook,16,74,588
88,male,63,Urban,Marketer Manager,106123,2898,60,1825,TRUE,TRUE,Facebook,90,24,678
89,non-binary,26,Rural,Software Engineer,126667,5135,24,595,TRUE,TRUE,YouTube,61,4,789
90,non-binary,20,Sub_Urban,Marketer Manager,95186,7629,36,1713,FALSE,TRUE,YouTube,94,37,530
91,male,38,Rural,Student,105469,44936,48,952,TRUE,TRUE,Facebook,80,4,340
92,female,43,Rural,Software Engineer,40581,20584,48,691,TRUE,TRUE,Instagram,7,77,327
93,female,25,Rural,Software Engineer,108929,24551,12,985,TRUE,FALSE,Instagram,16,89,434
94,female,65,Sub_Urban,Software Engineer,43051,34380,48,1789,TRUE,FALSE,Instagram,99,77,500
95,female,19,Urban,Student,71474,47971,36,1947,TRUE,FALSE,Instagram,16,18,332
96,male,23,Sub_Urban,Student,111748,18071,48,1651,TRUE,TRUE,Instagram,40,88,347
97,non-binary,45,Urban,Student,145995,21074,36,737,TRUE,TRUE,YouTube,12,66,802
98,female,46,Rural,Software Engineer,134618,26188,24,2443,TRUE,TRUE,Facebook,35,48,706
99,male,43,Rural,Student,89626,3307,12,1878,TRUE,TRUE,YouTube,21,33,398
100,female,42,Rural,Marketer Manager,26960,40901,48,2463,FALSE,TRUE,Instagram,50,58,846
101,female,29,Rural,Student,55772,12205,36,1635,TRUE,TRUE,Instagram,43,83,761
102,male,22,Rural,Software Engineer,41520,6906,60,2351,TRUE,TRUE,Instagram,17,73,304
103,non-binary,51,Urban,Marketer Manager,69481,3591,12,1969,TRUE,TRUE,Instagram,32,28,517
104,non-binary,65,Urban,Student,56408,16149,24,1866,TRUE,TRUE,Facebook,41,35,802
105,male,54,Rural,Marketer Manager,114006,45918,36,1668,TRUE,FALSE,Instagram,6,10,697
106,non-binary,32,Sub_Urban,Marketer Manager,148496,40951,24,1588,TRUE,TRUE,Facebook,88,65,692
107,male,61,Sub_Urban,Software Engineer,77134,26150,24,1770,FALSE,TRUE,Instagram,27,42,506
108,male,53,Rural,Marketer Manager,40491,32852,48,1234,TRUE,FALSE,Facebook,20,85,314
109,male,32,Urban,Marketer Manager,21341,43870,48,1490,TRUE,TRUE,YouTube,25,9,760
110,non-binary,60,Sub_Urban,Software Engineer,64623,2283,36,2013,TRUE,TRUE,Instagram,66,60,540
111,male,65,Sub_Urban,Software Engineer,110327,34691,60,1324,FALSE,TRUE,Facebook,9,15,395
112,female,40,Sub_Urban,Software Engineer,20338,2125,36,1962,TRUE,TRUE,YouTube,92,99,784
113,non-binary,23,Rural,Marketer Manager,91431,2529,60,605,TRUE,FALSE,Instagram,53,57,706
114,non-binary,63,Sub_Urban,Marketer Manager,32254,27170,24,680,TRUE,TRUE,Instagram,61,69,530
115,non-binary,67,Sub_Urban,Marketer Manager,71860,9438,12,683,TRUE,TRUE,Instagram,38,22,470
116,non-binary,61,Sub_Urban,Software Engineer,31344,21095,36,725,TRUE,TRUE,Facebook,3,64,840
117,female,60,Sub_Urban,Student,21750,17154,36,1276,TRUE,TRUE,Facebook,84,41,335
118,non-binary,62,Urban,Marketer Manager,74756,9004,60,1289,TRUE,FALSE,YouTube,70,87,824
119,non-binary,38,Rural,Student,87957,10752,24,2432,TRUE,TRUE,Facebook,97,71,459
120,male,40,Rural,Software Engineer,125423,44360,24,1612,TRUE,TRUE,Facebook,55,56,542
121,non-binary,60,Urban,Marketer Manager,78053,27819,60,1187,TRUE,TRUE,Instagram,1,23,385
122,female,33,Urban,Student,90855,37632,24,1029,TRUE,TRUE,Instagram,70,25,327
123,female,64,Rural,Marketer Manager,35896,27515,48,1894,TRUE,FALSE,Instagram,45,91,639
124,female,32,Sub_Urban,Marketer Manager,75761,25217,12,1471,TRUE,TRUE,Instagram,98,6,630
125,female,42,Sub_Urban,Marketer Manager,82552,24172,36,1435,TRUE,TRUE,Instagram,47,34,805
126,non-binary,53,Rural,Student,140075,33994,12,2436,TRUE,TRUE,Instagram,79,63,647
127,non-binary,28,Sub_Urban,Software Engineer,97454,16036,36,1922,TRUE,TRUE,Instagram,26,9,772
128,female,68,Urban,Marketer Manager,146522,12739,48,605,FALSE,TRUE,YouTube,14,60,530
129,female,32,Sub_Urban,Software Engineer,138681,33220,24,1794,TRUE,FALSE,YouTube,54,49,489
130,non-binary,21,Sub_Urban,Software Engineer,110600,10587,60,2498,TRUE,TRUE,YouTube,71,97,524
131,female,38,Sub_Urban,Student,142732,45517,48,1330,TRUE,FALSE,YouTube,46,51,684
132,male,30,Rural,Student,132153,31129,12,2026,TRUE,TRUE,Instagram,31,60,676
133,female,39,Urban,Software Engineer,142926,1645,60,1178,TRUE,TRUE,YouTube,88,70,582
134,female,36,Sub_Urban,Marketer Manager,47935,31930,24,2048,TRUE,TRUE,Instagram,59,37,558
135,male,51,Rural,Student,57641,17299,48,1348,TRUE,TRUE,YouTube,95,31,658
136,male,31,Sub_Urban,Marketer Manager,49711,31090,60,1555,TRUE,FALSE,Facebook,29,98,755
137,non-binary,21,Urban,Marketer Manager,90342,22953,48,892,TRUE,TRUE,YouTube,96,41,710
138,non-binary,65,Sub_Urban,Marketer Manager,126896,47443,48,539,TRUE,TRUE,YouTube,17,62,617
139,male,69,Urban,Software Engineer,32182,27475,24,1159,TRUE,TRUE,Instagram,14,93,524
140,male,63,Sub_Urban,Marketer Manager,107833,19888,36,1741,TRUE,TRUE,YouTube,36,58,533
141,non-binary,44,Urban,Software Engineer,76276,44732,60,2254,TRUE,TRUE,Facebook,58,14,673
142,female,46,Sub_Urban,Software Engineer,39541,17087,24,1480,FALSE,TRUE,Instagram,24,36,771
143,male,64,Urban,Marketer Manager,114457,47305,48,1605,TRUE,TRUE,Instagram,63,36,532
144,non-binary,45,Sub_Urban,Marketer Manager,102310,47037,24,1344,TRUE,TRUE,YouTube,91,79,412
145,female,52,Sub_Urban,Marketer Manager,64813,10346,36,2243,TRUE,TRUE,Instagram,25,8,796
146,male,25,Rural,Marketer Manager,57198,1587,60,700,TRUE,TRUE,Instagram,59,26,741
147,female,33,Rural,Software Engineer,28820,13763,36,946,TRUE,TRUE,Instagram,32,36,567
148,non-binary,59,Urban,Marketer Manager,44070,42945,12,2367,TRUE,TRUE,Instagram,82,48,809
149,male,53,Sub_Urban,Marketer Manager,89768,5079,60,1951,TRUE,FALSE,Instagram,18,85,685
150,female,47,Urban,Software Engineer,31122,37116,36,1561,TRUE,TRUE,Instagram,37,28,686
151,male,35,Rural,Student,100559,21215,48,1734,TRUE,TRUE,Facebook,26,68,412
152,female,19,Urban,Student,93543,26817,60,943,TRUE,TRUE,YouTube,9,62,380
153,non-binary,66,Urban,Software Engineer,103441,25765,60,1850,TRUE,TRUE,Facebook,99,80,412
154,non-binary,30,Rural,Student,61786,31112,24,1260,TRUE,TRUE,Instagram,64,86,301
155,male,21,Sub_Urban,Software Engineer,114934,26556,48,726,FALSE,TRUE,Instagram,72,76,519
156,female,43,Urban,Marketer Manager,119804,19099,12,547,TRUE,TRUE,YouTube,20,80,524
157,male,42,Rural,Marketer Manager,26737,44553,36,1541,TRUE,TRUE,Facebook,54,51,684
158,male,47,Sub_Urban,Student,56062,46096,24,1411,TRUE,TRUE,YouTube,86,42,702
159,female,28,Rural,Marketer Manager,74237,7450,36,1962,FALSE,TRUE,Facebook,83,29,429
160,female,24,Urban,Student,71571,14230,12,2330,TRUE,FALSE,Instagram,30,82,352
161,female,48,Sub_Urban,Student,45510,30009,12,2231,TRUE,TRUE,YouTube,53,10,715
162,non-binary,61,Sub_Urban,Marketer Manager,39426,6433,60,686,TRUE,TRUE,YouTube,92,39,546
163,male,27,Rural,Marketer Manager,57265,34866,12,844,TRUE,FALSE,Instagram,99,82,738
164,male,56,Rural,Student,37850,40864,36,723,TRUE,TRUE,YouTube,63,1,502
165,non-binary,30,Rural,Marketer Manager,138249,19710,48,1329,TRUE,TRUE,Facebook,11,39,483
166,female,48,Sub_Urban,Software Engineer,86150,12439,48,987,TRUE,TRUE,Facebook,31,21,422
167,non-binary,24,Sub_Urban,Marketer Manager,107312,42855,60,2432,TRUE,FALSE,Facebook,49,65,700
168,non-binary,66,Urban,Marketer Manager,109613,17021,36,1376,TRUE,TRUE,Facebook,94,15,593
169,non-binary,59,Sub_Urban,Software Engineer,94910,7416,36,1348,TRUE,FALSE,Instagram,87,4,579
170,male,59,Urban,Marketer Manager,72375,7980,12,1752,TRUE,TRUE,YouTube,19,60,497
171,non-binary,53,Rural,Marketer Manager,141826,19058,36,1913,TRUE,TRUE,Facebook,12,61,810
172,male,37,Rural,Student,55435,12101,24,1478,TRUE,FALSE,Instagram,15,20,443
173,male,21,Sub_Urban,Marketer Manager,116443,41718,12,2112,TRUE,TRUE,YouTube,31,10,500
174,male,24,Rural,Marketer Manager,77132,33602,24,1516,TRUE,TRUE,YouTube,43,87,423
175,female,18,Rural,Software Engineer,98945,10122,60,687,TRUE,TRUE,Instagram,37,34,486
176,male,61,Sub_Urban,Student,102050,13576,48,2381,TRUE,TRUE,Instagram,79,48,625
177,male,62,Urban,Student,149828,28516,60,769,TRUE,FALSE,Facebook,29,33,763
178,female,59,Sub_Urban,Student,115402,23433,48,2130,TRUE,TRUE,YouTube,26,98,648
179,male,64,Urban,Marketer Manager,22983,2089,60,809,TRUE,TRUE,YouTube,2,61,702
180,non-binary,30,Sub_Urban,Student,117241,38346,36,1655,TRUE,TRUE,Instagram,84,10,645
181,non-binary,39,Sub_Urban,Software Engineer,40662,10127,24,2074,TRUE,TRUE,YouTube,15,54,810
182,male,38,Rural,Student,43510,11487,48,1595,TRUE,TRUE,Facebook,4,84,446
183,female,39,Sub_Urban,Software Engineer,98187,1155,12,2316,TRUE,TRUE,YouTube,86,65,447
184,non-binary,45,Sub_Urban,Student,60998,2958,24,1344,TRUE,TRUE,Instagram,50,77,788
185,female,26,Urban,Student,76846,11693,12,2195,TRUE,FALSE,Instagram,38,1,637
186,female,43,Rural,Software Engineer,114071,40112,24,1710,TRUE,TRUE,Facebook,23,5,772
187,non-binary,26,Urban,Student,26640,39547,24,985,FALSE,TRUE,Facebook,59,80,450
188,female,32,Urban,Student,64547,29795,60,1714,TRUE,FALSE,YouTube,90,15,714
189,non-binary,27,Rural,Student,74620,22447,48,1945,TRUE,TRUE,YouTube,75,28,597
190,female,41,Rural,Marketer Manager,35317,37598,48,619,TRUE,TRUE,Instagram,28,95,562
191,non-binary,59,Rural,Software Engineer,135608,42814,24,719,TRUE,TRUE,Facebook,66,23,443
192,male,25,Sub_Urban,Student,27564,26215,36,552,TRUE,FALSE,Facebook,8,17,645
193,non-binary,41,Rural,Software Engineer,47345,10794,36,2257,TRUE,TRUE,Facebook,29,98,301
194,non-binary,33,Rural,Software Engineer,133824,34209,12,1974,TRUE,FALSE,YouTube,11,13,603
195,non-binary,66,Rural,Software Engineer,114223,23424,12,1935,TRUE,TRUE,Facebook,18,14,553
196,non-binary,43,Urban,Student,143372,48246,60,2166,TRUE,TRUE,Instagram,55,11,752
197,female,44,Urban,Student,99273,38396,24,1760,TRUE,TRUE,Instagram,50,28,336
198,male,54,Sub_Urban,Software Engineer,94859,7370,12,1257,TRUE,TRUE,YouTube,14,42,459
199,non-binary,21,Urban,Marketer Manager,100765,10528,12,1237,TRUE,TRUE,YouTube,74,96,308
200,female,67,Sub_Urban,Software Engineer,130017,29276,24,1219,TRUE,TRUE,Facebook,99,99,532
201,male,41,Urban,Marketer Manager,94038,45333,60,905,TRUE,TRUE,YouTube,9,61,398
202,male,36,Rural,Software Engineer,143618,9179,12,1107,TRUE,TRUE,Instagram,99,64,507
203,male,53,Urban,Software Engineer,72393,49781,60,1520,TRUE,TRUE,Facebook,11,31,430
204,male,56,Sub_Urban,Software Engineer,86081,17843,48,921,TRUE,TRUE,Instagram,63,81,703
205,non-binary,27,Urban,Student,145341,24952,60,1211,TRUE,TRUE,Facebook,76,73,451
206,non-binary,42,Rural,Marketer Manager,122650,34160,36,746,TRUE,TRUE,YouTube,67,10,353
207,female,35,Sub_Urban,Marketer Manager,49430,45898,36,571,TRUE,TRUE,Facebook,53,8,419
208,female,36,Rural,Software Engineer,95532,30516,60,2353,TRUE,TRUE,Facebook,39,21,719
209,female,53,Rural,Student,47788,11449,36,684,TRUE,TRUE,Instagram,78,77,721
210,male,27,Sub_Urban,Student,115505,22125,48,505,TRUE,TRUE,Instagram,56,59,403
211,male,50,Rural,Marketer Manager,68543,8418,24,1729,TRUE,FALSE,Facebook,28,50,553
212,non-binary,67,Rural,Student,33919,23746,36,2067,TRUE,TRUE,YouTube,75,69,526
213,male,22,Urban,Marketer Manager,89346,3454,36,2134,TRUE,TRUE,YouTube,39,70,411
214,male,64,Rural,Marketer Manager,116122,18761,60,1405,TRUE,TRUE,Instagram,25,30,809
215,male,66,Rural,Marketer Manager,59974,16223,48,886,TRUE,TRUE,YouTube,21,95,772
216,female,52,Rural,Student,127309,7701,24,2291,TRUE,TRUE,Instagram,10,17,398
217,female,61,Rural,Marketer Manager,36371,3597,60,1198,FALSE,TRUE,YouTube,43,75,452
218,non-binary,51,Sub_Urban,Marketer Manager,65084,1141,60,1599,TRUE,TRUE,Facebook,15,20,637
219,male,50,Urban,Software Engineer,49629,3659,48,1700,TRUE,TRUE,Instagram,83,48,462
220,male,38,Rural,Marketer Manager,71184,21980,24,1326,TRUE,TRUE,Instagram,48,73,460
221,non-binary,34,Rural,Marketer Manager,81916,10031,48,2322,TRUE,TRUE,Facebook,86,2,697
222,male,39,Sub_Urban,Software Engineer,147293,16037,24,848,TRUE,TRUE,Instagram,21,37,576
223,male,65,Rural,Software Engineer,93972,47738,48,1778,TRUE,TRUE,YouTube,60,1,803
224,female,54,Sub_Urban,Student,82187,39429,60,2360,TRUE,FALSE,YouTube,96,4,691
225,non-binary,32,Urban,Marketer Manager,32984,7142,60,2225,TRUE,TRUE,Instagram,50,54,434
226,non-binary,52,Urban,Student,53039,13109,12,807,TRUE,TRUE,YouTube,23,25,494
227,non-binary,45,Rural,Student,105431,23010,36,1868,TRUE,FALSE,Instagram,13,3,700
228,non-binary,24,Rural,Software Engineer,103691,9787,48,1650,TRUE,TRUE,Facebook,69,9,332
229,female,49,Rural,Student,78606,43864,12,2460,FALSE,TRUE,Instagram,4,86,759
230,female,28,Sub_Urban,Marketer Manager,30616,9472,36,786,TRUE,TRUE,Facebook,92,87,769
231,male,27,Rural,Software Engineer,122665,24383,48,1265,TRUE,FALSE,YouTube,78,76,674
232,male,26,Rural,Marketer Manager,125373,5249,24,1224,TRUE,TRUE,Facebook,72,74,321
233,male,31,Urban,Marketer Manager,70072,48717,36,1261,FALSE,TRUE,YouTube,9,34,337
234,male,30,Rural,Software Engineer,44574,35518,60,2119,TRUE,TRUE,Instagram,35,43,529
235,female,42,Urban,Marketer Manager,23430,19351,12,2010,TRUE,FALSE,YouTube,21,74,664
236,non-binary,19,Rural,Software Engineer,139123,5088,36,882,TRUE,TRUE,Instagram,58,94,737
237,female,52,Urban,Marketer Manager,32676,16282,36,1929,TRUE,TRUE,Instagram,18,22,582
238,male,24,Rural,Software Engineer,30816,20330,60,887,TRUE,FALSE,Facebook,97,70,326
239,female,38,Urban,Student,52733,43409,48,1024,TRUE,TRUE,Facebook,72,2,525
240,non-binary,35,Sub_Urban,Marketer Manager,105680,22778,24,2080,FALSE,TRUE,Facebook,81,94,576
241,non-binary,20,Urban,Software Engineer,22050,25264,60,1138,TRUE,TRUE,Facebook,43,66,583
242,female,59,Urban,Marketer Manager,129996,6075,24,1437,TRUE,TRUE,YouTube,95,32,780
243,female,56,Urban,Marketer Manager,53933,11412,48,2149,TRUE,FALSE,YouTube,98,16,752
244,female,58,Rural,Marketer Manager,44951,49454,36,2468,TRUE,TRUE,YouTube,6,76,815
245,male,66,Rural,Software Engineer,52413,29365,24,775,TRUE,TRUE,Instagram,86,1,846
246,female,28,Rural,Student,54801,8230,12,999,TRUE,TRUE,YouTube,78,72,491
247,female,56,Sub_Urban,Student,75619,49200,12,1216,TRUE,TRUE,YouTube,67,48,348
248,female,41,Sub_Urban,Student,52913,12002,60,836,TRUE,FALSE,YouTube,12,50,811
